created_at,favorite_count,retweet_count,text
2021-07-24 02:54:38,51,1,@ZssBecker @100trillionUSD @woonomic Fair
2021-07-24 02:53:42,283,3,@elliotrades Congrats bro
2021-07-24 01:47:28,34,1,@_vctt @100trillionUSD @woonomic I’m sorry we cannot put up with the word buidl
2021-07-24 01:43:11,2332,189,"When we go on leg 2 of this bull run, remember all the terrified losers who said #Bitcoin was finished.

Remember the big brained people like @100trillionUSD, @woonomic, and others.

Amazing what going through multiple cycles will do for a person."
2021-07-23 17:48:00,392,46,Is there a flippening on the horizon for $ETH? Will ethereum and $eth gang overtake bitcoin in market capitalization? https://t.co/jP7GPSCTkV
2021-07-23 13:07:41,556,40,"A LOT of shillers are paid to shill. If someone says ""Hey! Check out [shillcoin]!"" That's a shill. Run far and fast.

People who say productive things about a project, that's fine! The #bitsquad is big-brained for not trusting shillers.

VERIFY.

#ethgang #bitcoin #crypto"
2021-07-22 15:33:27,94,20,"30 minutes until our next generation NFTs drop from @ThetaDrop... 😱

Snag an exclusive ""Cupid’s Nipception"" 💘or a 3D BitMobile collectible #NFT for only $10!

Pre-Fund now to reserve your spot on https://t.co/ICQH96V7Fg https://t.co/3YOy6xlfv8"
2021-07-22 15:29:55,91,12,Let's Get It! https://t.co/r9EbPRoFlm
2021-07-22 15:00:34,213,25,"Our #Cardano steaking pool is up 😉

Learn how to stake your $ADA with BPOOL here ⬇️

https://t.co/6nlfSCY5jo https://t.co/4keMpmsMK9"
2021-07-22 13:46:15,77,0,@pantsueff @kujiiii Lol I didn’t care about that. Was just doing it to help him. As you can see a 5 Bitcoin loan comes with great risk. A $25k profit is nothing to me to care about.
2021-07-22 13:43:55,20,0,@RichardHeartWin Yes
2021-07-22 13:03:32,1377,139,"What is the best #crypto bear market hold outside $ETH and $BTC?

IMO I believe it's $LINK
#Chainlink performed super well last bear market and is a phenomenal project that's networked with everyone!

What will be your long-term/ bear market holds outside #Ethereum and #Bitcoin?"
2021-07-22 12:27:47,392,23,"Any of the texts left out included personal info I won’t expose.

The last I heard from Alex was about 3 weeks ago. He asked me to join a call and I couldn’t make it. 

Pretty confident this would have been to ask me for more money as that seems to be a consistent thread."
2021-07-22 12:27:47,336,36,"I’ve never exposed a private conversation. But it is important everyone knows the truth. 

He put me off for weeks and it became clear as you can read here, I was never getting paid back.

When you loan someone money, there is risk and that’s why I’m not upset. https://t.co/Tk2hR3AEaR"
2021-07-22 12:27:33,243,18,"I hope Alex can be honest and get the help he needs. I don’t care if I ever get the money back. Use it to pay back others who have been hurt.

In the middle of this loan, we did a collaboration and the comments against me from his community were brutal. Meanwhile… https://t.co/brTHT9t5Q5"
2021-07-22 12:27:06,1273,223,"A lot of stuff is coming out and it’s clear a lot of people have been scammed. I’ve been holding this back, but tbh I now think it’s necessary for people to know the truth. 

Alex asked me for a 5 BTC loan back in early March. I gave it to him as a friend. Big mistake. https://t.co/hvKfczyNzG https://t.co/rtnjPWKEIO"
2021-07-22 02:50:38,231,2,"@TheLivAlexander I love women’s soccer. I have loved every US Women’s team before this. I watched Brandi Chastain beat China. 

You should be disappointed that this team cares more about making statements than about playing soccer.

Check the likes on this post. People hate this team. Period."
2021-07-22 00:50:28,753,50,#Crypto people seem to be in a better mood when the #Bitcoin price is going up. https://t.co/Y9suY9ZJ95
2021-07-22 00:45:44,236,19,Lmao https://t.co/RHA9jEKH7Z
2021-07-22 00:32:58,25,0,@c1atlas @BitZenTao Win some lose some
2021-07-22 00:32:45,13,0,@BitZenTao Lmao you people are insufferable
2021-07-22 00:32:05,200,0,@higharcent 5 years ago they weren’t this bad. The political message is more important to this team than playing soccer. No surprise they got drilled today.
2021-07-22 00:30:54,458,2,@BitZenTao Move to China with the rest of the commies. You’ll be happier there.
2021-07-22 00:27:58,3032,177,The U.S. Women’s soccer team is the most unlikable team in the history of American sports.
2021-07-21 23:44:51,927,127,💀 ☠️ 💀 https://t.co/DPXvNVVNW8
2021-07-21 23:26:18,578,58,Dogecoin mining by using normal home devices? Weird. Almost like I told you this was coming 10 days ago from one of my sources. https://t.co/rpmsaBhkpC
2021-07-21 20:00:20,617,59,"Use case will outlast speculation, no matter the price.

Volatility is the name of the game short-term, but it won't be for too long.

#Bitcoin #Ethereum"
2021-07-21 16:01:42,299,57,"We've been teasing this since ETHter and it's finally here... 😱

Get your hands on an exclusive ""Cupid’s Nipception"" on @ThetaDrop 💘

Or how about a stunning 3D BitMobile collectible #NFT for only $10!?

Pre-Fund now to reserve your spot on https://t.co/ICQH96V7Fg https://t.co/gPjUuU3yvp"
2021-07-21 14:02:52,324,17,It’s funny because these are definitely two guys I associate the B Word with https://t.co/lSD7NIezdT
2021-07-21 13:57:56,3,0,@TheCryptoTengu Just Hodl it. We got plenty of money to run the business from other sources.
2021-07-21 13:04:16,1306,76,"Do what the whales do 🐋

If the top 10 whales added another 10% of #Ethereum during this dip, what should you be doing?

#ethgang, where you at?? 🙌💎"
2021-07-21 00:42:17,743,30,People who call cars depreciating assets are miserly douches who will die alone with too much money in the bank https://t.co/DlO8VKPlQm
2021-07-20 17:46:18,327,44,"The #Cardano #ADA steaking Pool is LIVE!!!
https://t.co/6nlfSDfGHY"
2021-07-20 16:48:40,1295,141,"Bitcoin is math.

Math is universal.

#Bitcoin is universal."
2021-07-20 13:21:32,1087,83,"Let's help each other in the comments below!

How long have you been in the #crypto markets?

#HODLers, what are some of the best pieces of advice you could give to newcomers?"
2021-07-20 09:53:26,2556,251,"We’ve seen #Bitcoin below $30k 2 times before in the last 2 months.

Still not scared. The manipulators’ goal has been $28k all along. They want you to be bearish.

This is all geared up to be the final push down."
2021-07-20 02:04:03,2,0,@stefaniej_11 We were open before any other state
2021-07-19 23:06:28,248,5,@cryptorecruitr Enjoyed having you on bro!
2021-07-19 16:33:58,1824,179,"Crypto is in high demand by smart investors.

Be a smart investor.

#Bitcoin #Crypto #HODL"
2021-07-19 16:12:12,73,20,"Love this for the #BitSquad 💥 

Wonder what the future has in store for us and @Chain_Guardians 🤔 https://t.co/aKMxAOSmf5"
2021-07-19 15:36:02,152,24,"Ask the right questions. Follow the money.

Who's pulling the strings? https://t.co/bkEnHZIUAo"
2021-07-19 13:46:43,180,22,"Do you want to make crypto gains even while HODLing? 

https://t.co/JmE6CoNc8l https://t.co/us5MVngBe9"
